"participant","expName","session","subsession","timestamp","event","event_block","event_trial","event_click","mx","my","gx","gy","cx","cy","left","right","dist","isSuccess","width"
"335","gRT-dotprobe-2",0,"ab",1395.8950000014156,"isCalibrating",2,0,0,1092,684,1141,710,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1518.6500000017695,"isCalibrating",2,0,1,1092,684,1178,641,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1648.8700000008103,"isCalibrating",2,0,2,1092,684,1166,535,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1776.2650000003632,"isCalibrating",2,0,3,1092,684,1240,600,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1904.3650000020862,"isCalibrating",2,0,4,1092,684,1083,663,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1989.949999999022,"isCalibrating",2,0,5,1092,684,1088,595,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2114.059999999823,"isCalibrating",2,0,6,1092,684,1258,398,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2235.7250000021886,"isCalibrating",2,0,7,1092,684,1054,750,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2359.9150000007357,"isCalibrating",2,0,8,1092,684,1176,571,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2478.95500000217,"isCalibrating",2,0,9,1092,684,1198,598,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2602.6100000017323,"isCalibrating",2,0,10,1092,684,1147,463,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2743.0349999994505,"isCalibrating",2,0,11,1092,684,1039,734,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2866.819999999134,"isCalibrating",2,0,12,1092,684,1119,675,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",2953.1999999999534,"isCalibrating",2,0,13,1092,684,1179,750,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",3080.034999998985,"isCalibrating",2,0,14,1092,684,1063,757,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",3181.9600000015926,"isCalibrating",2,0,15,1092,684,925,661,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",3303.790000001667,"isCalibrating",2,0,16,1092,684,973,337,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",3507.7750000017695,"isCalibrating",2,0,17,1092,684,1067,730,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",3747.5300000004936,"isCalibrating",2,0,18,1092,684,1078,514,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",3870.425000000978,"isCalibrating",2,0,19,1092,684,980,440,1080,675,"75%","75%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1590436.1150000005,"isCalibrating",2,1,0,1078,210,973,100,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1590600.2399999998,"isCalibrating",2,1,1,1078,210,1077,282,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1590727.2599999998,"isCalibrating",2,1,2,1078,210,1006,156,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1590946.9099999988,"isCalibrating",2,1,3,1078,210,1140,147,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1591072.219999998,"isCalibrating",2,1,4,1078,210,1029,303,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1591216.5749999986,"isCalibrating",2,1,5,1078,210,997,248,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1591353.1349999974,"isCalibrating",2,1,6,1078,210,952,341,1080,225,"75%","25%","nan","nan",142
"335","gRT-dotprobe-2",0,"ab",1591479.0599999977,"isCalibrating",2,1,7,1078,210,1136,562,1080,225,"75%","25%","nan","nan",142
